abandon,v./n.放棄；放縱
agreeable,a.令人喜悅的；欣然同意的
agronomy,n.農學，農藝學
ail,v.生病
airborne,a.空氣傳播的；空運的
airtight,a.密閉的，不透氣的
alabaster,a.雪白的
alacrity,n.樂意，欣然；敏捷，活潑
albeit,conj. 雖然，儘管
alchemy,n.煉金術
alcove,n.凹室
alert,a.警惕的，機警的；n.警報
alias,n.化名，別名
alibi,n.某人當時不在犯罪現場的申辯或證明
alienate,v.疏遠，離間某人
align,v.將某物排列在一條直線上；與某人結盟
alimentary,a.飲食的，營養的
alkali,n.鹼
allay,v.減輕，緩和
allege,v.(無證據)陳述，宣稱
allegiance,n.忠誠，擁護
allegory,n.寓言
allergic,a.過敏的；對…討厭的
allergy,n.過敏症；厭惡
alleviate,v.緩和，減輕
allocate,v.配給，分配
allowance,n.津貼，補助；承認，允許
allude,v.間接提到，暗指
alluring,a.吸引人的，迷人的
allusion,n.暗示，間接提示
aloft,adv.在空中，在頭頂上
aloof,a.冷淡的，疏遠的
alphabetical,a.按字母表順序的
alter,v.改變，更改
alternate,a.輪流的，交替的；v.輪流，交替n.候選人，替代性選擇
altruism,n.利他主義；無私
altruistic,a.無私的，為他人著想的
aluminium,n.鋁
amalgam,n.混合物
amalgamate,v.合併；混合
amass,v.積聚
amateur,n.業餘愛好者
amateurish,a.業餘愛好的，不熟練的
ambidextrous,a.十分靈巧的
ambiguous,a.含糊的
ambivalence,n.矛盾心理
ambivalent,a.(對人或物)有矛盾看法的
amble,n./v.漫步，緩行
ambush,v.埋伏；伏擊
ameliorate,v.改善，改良
amenable,a.願服從的，通情達理的
amend,v.修正；通常向更好的方向變化
amendment,n.改正，修正；[法]修正案
amenity,n.禮儀；使人感到舒適的事物
amiable,a.和藹的，親切的
amicable,a.友好的
amity,n.(人或國之間的)友好關係
amnesia,n.健忘症
amnesty,n.大赦，特赦
amorphous,a.無定形的
amortize,v.分期償還
amphibian,n.兩棲動物；水陸兩用飛行器
ample,a.富足的；充足的
amplify,v.放大；詳述
amplitude,n.廣大，廣闊
amulet,n.護身符
amuse,v.使愉快，逗某人笑
anachronistic,a.年代出錯的
anaerobic,a.厭氧的
anagram,n.變形詞
analgesia,n.無痛覺，痛覺喪失
analgesic,n.鎮痛劑；a.止痛的
analogous,a.類似的
analogy,n.相似；類比
analyze,v.分析，分解
anarchist,n.無政府主義者
anarchy,n.無政府；政治上的混亂
anathema,n.被詛咒的人；宗教意義的詛咒
anatomical,a.解剖學的
ancestor,n.祖先，祖宗
ancestry,n.家系
anchor,v.穩固；固定n.錨
ancillary,a.輔助的；n.助手
anecdote,n.短故事；軼事
anemia,n.貧血，貧血症
anesthetic,n.麻醉劑；a.麻醉的
anguish,n.極大痛苦
angular,a.有角的；(指人)瘦削的
anhydrous,a.無水的
animate,a.活的，有生命的；v.賦予生命
animated,a.活潑的，生動的
animation,n.活潑，有生氣；卡通製作
animosity,n.憎惡，仇恨
animus,n.敵意，憎恨
annals,n.編年史
annexation,n.併吞，合併
annihilate,v.消滅
annotate,v.註解
announce,v.宣佈，發表；通報…的到來
annoy,v.惹惱；打攪，騷擾
annul,v.宣告無效；取消
anomalous,a.反常的；不規則的
anomaly,n.異常，反常
anonymity,n.無名，匿名
anonymous,a.匿名的
anorexia,n.厭食症
antagonism,n.反抗，敵意
antagonize,v.使對抗；與…對抗
Antarctic,a.南極的
antecedence,n.居先，優先
antecedent,n.前事；前輩；a.先行的
antediluvian,a.史前的；陳舊的
antenna,n.觸角；天線
anterior,a.較早的，以前的
anthem,n.聖歌；贊美歌，國歌
anthology,n.詩集，文選
anthropologist,n.人類學家
antibiotic,n.抗生素
antibody,n.抗體(身體中的抗病物質)
antic,a.古怪的
anticipate,v.預期，期待
anticipatory,a.預想的，預期的
anticlimax,n.令人掃興的結局
antidote,n.解毒藥
antihistamine,n.(治療過敏的)抗組胺劑
antipathy,n.反感，厭惡
antiquated,a.陳舊的，過時的
antique,a.古時的，古老的；n.古物，古董
antiquity,n.古；古人；古蹟
antiseptic,n.殺菌劑；a.防腐的
antithesis,n.對立；相對
anvil,n.鐵砧
aorta,n.主動脈
apex,n.頂點，最高點
aphorism,n.格言
apiary,n.養蜂場，蜂房
aplomb,n.沈著，鎮靜
apocalyptic,a.預示世界末日的；啓示的
apocrypha,n.偽經，偽書
apocryphal,a.假冒的，虛假的
apogee,n.遠地點
apologize,v.道歉；辯解
apoplectic,a.中風的；憤怒的
apostasy,n.背教，脫黨
apostate,n.背教者；變節者
apostrophe,n.書寫中撇號(’)(表示省略或所有格)
apothecary,n.藥劑師
appall,v.使驚駭，使恐怖
apparatus,n.儀器，設備
apparel,n.(精緻的)衣服
apparition,n.幽靈，神奇的現象
appeal,v.懇求；吸引；上訴
appease,v.使平靜，安撫
appellation,n.名稱，稱呼
appetite,n.慾望，食慾，愛好
appetizer,n.開胃品
appetizing,a.美味可口的，促進食慾的
applaud,v.鼓掌表示歡迎或贊賞
applause,n.鼓掌，喝彩
applicable,a.生效的，適合的
applicant,n.申請人
application,n.請求，申請；應用，應用程序
appoint,v.任命，指定；約會
apposite,a.適當的，恰當的
appraise,v.評價，鑒定
appreciable,a.明顯的
appreciate,v.欣賞；感激
apprehend,v.逮捕；恐懼
apprehensive,a.害怕的；有眼力的
apprentice,n.學徒
apprise,v.通知，告訴
approach,v.接近，靠近；著手處理；n.方法
approbation,n.稱贊，認可
appropriate,v.撥款；盜用；a.恰當的
approximate,a.大約的，估計的
apron,n.圍裙
apropos,a./adv.適宜的(地)；有關
apt,a.易於…的，恰當的
aptitude,n.適宜；才能，資質
aquatic,a.水生的，水中的
aqueduct,n.引水渠；高架渠
aquifer,n.含水土層
arabesque,n.蔓藤圖飾
arable,a.可耕的，適合種植的
arbiter,n.權威人士，泰斗
arbitrary,a.專橫的，不理智的
arbitrate,v.仲裁，公斷
arboreal,a.樹木的
arboretum,n.植物園
arcane,a.神秘的，秘密的
arch,n.拱門，拱形
archaeology,n.考古學
archetype,n.原型；典型例子
archipelago,n.群島
architect,n.建築師
archive,n.檔案室
arctic,a.北極的；極寒的
ardent,a.熱心的，熱烈的
arena,n.(角鬥的)競技場
argot,n.隱語，黑話
aria,n.獨唱曲，詠嘆調
arid,a.乾旱的；枯燥的
aristocracy,n.貴族；貴族政府，貴族統治
armada,n.艦隊
armistice,n.休戰，停戰
armory,n.軍械庫
aroma,n.芳香，香氣
aromatic,a.芬芳的，芳香的
arouse,v.喚醒；激發
array,v.部署；n.陳列；大批
arrest,v.依法逮捕；阻止，抑制
arresting,a.顯著的，引人注意的
arrhythmic,a.無節奏的；不規則的
arrogance,n.傲慢，自大
arrogant,a.傲慢的，自大的
arrogate,v.冒稱具有…權利
arroyo,n.乾涸的河床；小河
arsenal,n.軍械庫
arson,n.縱火，放火
artery,n.動脈，命脈
arthritis,n.關節炎
articulate,v.清楚說話
artifact,n.人工製品
artifacts,n.史前古器物
artifice,n.巧辦法；詭計
artificial,a.人造的，假的
artistry,n.藝術技巧
artless,a.粗俗的；自然的
ascendancy,n.統治權，支配力量
ascetic,a.禁慾的；n.苦行者
ascribe,v.歸功於；歸咎於
aseptic,a.潔淨的；無菌的
asparagus,[植]蘆筍，龍鬚菜(可作蔬菜)
aspect,n.(問題等的)方面；面貌，外表
aspen,n.白楊
asperity,n.嚴酷；粗魯
aspersion,n.誹謗，中傷
asphyxiate,v.(使)無法呼吸，窒息而死
aspirant,n.有抱負者
aspiration,n.抱負，熱望
aspire,v.嚮往，有志於
assail,v.抨擊；猛攻
assault,n.突然襲擊；猛襲
assay,v./n.試驗，測定
assemble,v.集合，聚集
assent,v.同意，贊成
assert,v.斷言，主張
assertive,a.過分自信的；有進取心的
assertiveness,n.過分自信
assess,v.確定，評定；估計…的質量
assessment,n.估計，評價
asset,n.財產；可取之處
assiduous,a.勤勉的；專心的
assimilate,v.同化；吸收
associate,a.聯合的；n.合伙人；v.將人或事物聯繫起來
assorted,a.混雜的
assuage,v.緩和，減輕
assume,v.假定
assumption,n.設想；奪取
assure,v.向某人保證，確信
assured,a.自信的；確定的
asterisk,n.星號
asteroid,n.小行星
asthma,n.哮喘症
astound,v.使震驚
astray,a.迷路的，誤入歧途的
astringent,a.止血的，收縮的；n.收縮劑，止血劑
astrolabe,n.星盤(古代星位觀測儀)
astrology,n.占星術；占星學
astronomical,a.龐大的
astute,a.機敏的，精明的
asunder,a./adv.分離的；化為碎片
asylum,n.避難所，庇護所
asymmetric,a.不對稱的
athletics,n.運動，體育
atonal,a.(音樂)無調的
atrocious,a.殘忍的，凶惡的
atrocity,n.殘暴，暴行
atrophy,n.萎縮，衰退
attach,v.將某物系在(另一物)上
attain,v.達到，實現
attainment,n.成就
attenuate,v.變薄
attest,(to)v.證明
attic,n.閣樓，頂樓
attorney,n.律師
attribute,n.屬性，品質；v.把…歸於
attune,(to)v.使調和
auction,n.拍賣
audacious,a.大膽的；愚勇的
audible,a.聽得見的
audience,n.聽眾，觀眾；讀者
audit,v.審計，核對；旁聽
auditorium,n.禮堂；觀眾席
augment,v.增大，增值
augur,n.占卜師；v.占卜
augury,n.預言，徵兆，占卜
august,a.威嚴的，高貴的
auspices,n.資助，贊助
auspicious,a.幸運的；吉兆的
austere,a.樸素的
austerity,n.樸素，艱苦
authentic,a.真正的；法律證實的
authenticity,n.確實性，真實性
authoritarian,n.獨裁主義者；極權主義者
authorization,n.授權，認可
autobiography,n.自傳
autocracy,n.獨裁政府
autocrat,n.獨裁者
autonomous,a.自治的
autonomy,n.自治，獨立
auxiliary,a.輔助的，協助的
available,a.可用的，可得到的
avalanche,n.雪崩
avant-garde,n.(藝術)先鋒派
avarice,n.貪財，貪婪
avaricious,a.貪婪的，貪心的
avenge,v.為…復仇，為…報仇
aver,v.極力聲明；斷言；確證
averse,a.不願的，反對的
aversion,n.嫌惡，憎恨
avert,v.避免，防止
aviary,n.大鳥籠，鳥捨
avid,a.渴望的
avoid,v.避開，躲避
avow,v.承認；公開宣稱
awe,n./v.敬畏
awe-inspiring,a.令人敬畏的
awkward,a.笨拙的；難用的；不便的
awl,n.(鑽皮革的)尖鑽
awning,n.遮陽蓬，雨蓬
awry,a.扭曲的，走樣的
axiom,n.公理；定理
axis,n.軸(常為虛構之線，如地球軸)
axle,n.輪軸(連接兩個車輪的軸)
babble,v.胡言亂語；牙牙學語；喋喋不休
backdrop,n.(事情的)背景，背景幕布
backhanded,a.間接的；反手擊球的
backset,n.倒退
bacteria,n.細菌，培養基
bacterium,n.細菌
badge,n.徽章(如校徽等)
badger,n.獾；v.一再煩擾，一再要求
badinage,n.開玩笑，打趣
bail,n.保釋金
bait,n.誘餌；v.逗弄；激怒
bale,n.大包裹；災禍，不幸
baleful,a.邪惡的，惡意的
balk,n.大方木料；v.妨礙；(因困難等)不願前進或從事某事
ballad,n.歌謠，小曲
ballast,n.(船等)壓艙物
ballerina,n.芭蕾舞女演員
balloon,n.氣球；v.快速增加
ballot,n./v.投票
balm,n.香油，藥膏；鎮痛劑
balmy,a.(氣候)溫和的；芳香的
ban,n.禁令
banal,a.陳腐的
band,n.帶子；收音機波段
bandage,n.繃帶；v.用繃帶包扎
bane,n.禍根
banish,v.放逐某人
banister,n.(樓梯的)欄桿
bankrupt,a.破產的
banquet,n.宴會，盛宴
banter,n.打趣，玩笑
bar,v.禁止，阻擋；n.條，棒
barb,n.(魚鈎的)倒鈎；嚴厲的批評
barbarous,a.野蠻的；殘暴的
barbecue,n.烤肉架；烤肉
bard,n.吟游詩人
bare,v.暴露；a.赤裸的
barefaced,a.厚顏無恥的，公然的
bargain,n.交易；物美價廉的東西；v.討價還價
barge,n.平底貨船，駁船
bark,v./n.狗吠；n.樹皮
barn,n.穀倉，牲口棚
barometer,n.氣壓計；晴雨表
baroque,n./a.(藝術、建築等)過分雕琢(的)
barrage,n.彈幕
barren,a.不育的；貧瘠的；不結果實的
barricade,v.設柵阻擋；n.柵欄
barrier,n.路障；障礙
barter,v.易貨貿易
base,a.卑鄙的
bask,v.曬太陽，取暖
baste,v.倒油脂於(烤肉上，以防烤乾)
batch,n.一批，一爐
bathetic,a.假作悲傷的；陳腐的
baton,n.指揮棒(指揮家用)；警棍
battalion,n.軍營，軍隊
bauxite,n.鋁土岩(產鋁的礦土、石)
bawdy,a.淫猥的，好色的
bazaar,n.集市，商店集中區
beacon,n.烽火；燈塔
beam,n.(房屋等)大梁；光線
bearing,n.關係，意義；方位
beat,v.心跳；攪拌
bedeck,v.裝飾，修飾
bedlam,n.混亂，騷亂
befuddlement,n.迷惑不解
begrudge,v.吝嗇，勉強給
beholder,n.目睹者，旁觀者
behoove,v.理應，有義務
belabor,v.過分冗長地做或說；痛打
belated,a.來得太遲的
beleaguer,v.圍攻；騷擾
belie,v.掩飾；證明為假
belittle,v.輕視，貶抑
bellicose,a.好戰的，好鬥的
belligerence,n.交戰；好戰性，鬥爭性
bellwether,n.領導者，領頭羊
bench,n.法官席；長凳
bend,v.彎曲；屈服
benediction,n.祝福；祈禱
benefactor,n.行善者，捐助者
benevolent,a.善心的，仁心的
benign,a.慈祥的
benison,n.祝福，賜福
bent,n.特長，愛好；a.彎曲的
bequeath,. 遺贈
bequest,n.遺產，遺贈物
berate,v.猛烈責罵
bereft,a.被剝奪的；缺少的
beset,v.鑲嵌；困擾
besiege,v.圍攻，困擾
besmirch,v.誹謗
bestial,a.野獸的，殘忍的
bestow,v.給予，賜贈
betray,v.背叛；暴露
betroth,v.許配，和…訂婚
beverage,n.飲料
bewilder,v.迷惑，混亂
bewildering,a.令人迷惑的；費解的
bibliography,n.文獻學；參考書目
bibliophile,n.愛書者，藏書家
bicker,v.為小事爭吵
bid,v.命令；出價，投標
bifurcate,v.分為兩支，分叉
bigot,n.(宗教、政治等的)盲信者；心胸狹窄者
bile,n.膽汁
bilingual,a.(說)兩種語言的
bilk,v.躲債；騙取
billowy,a.如波浪般翻滾的
bin,n.大箱子
biosphere,n.生命層，生物圈
biped,n.二足動物
bit,n.鑽頭
bizarre,a.奇異的，古怪的
blade,n.刀鋒，刀口
blanch,v.使變白；使(臉色)變蒼白
bland,a.(人)情緒平穩的；(食物)無味的
blandishment,n.奉承，甘言勸誘
blasphemy,n.褻瀆，瀆神
blast,>n.一陣(大風)；衝擊波；v.爆破；枯萎
blatant,a.厚顏無恥的；顯眼的；炫耀的
blazon,n.紋章，裝飾；v.精確描繪
bleach,v.漂白
bleak,a.寒冷的；陰沈的；陰鬱的，暗淡的
blemish,v.損害；玷污；n.瑕疵，缺點
blight,n.植物枯萎病；v.使…枯萎
blighted,a.枯萎的；衰老的
bliss,n.狂喜；福佑，天賜的福
blissful,a.極幸福的
blithe,a.快樂的，無憂無慮的
blizzard,n.暴風雪
blockade,v./n.封鎖
blockage,n.障礙物
blooming,a.有花的；精力旺盛的
blotch,n.(皮膚上的)紅斑點；(墨水等)大斑點
blowhard,n.自吹自擂者
blue,a.憂傷的，沮喪的
blueprint,n.藍圖；方案
blunder,v.犯大錯；笨拙地做；n.愚蠢之舉
blunt,a.鈍的；直率的；v.變鈍
blur,n.模糊不清的事物；v.使…模糊
blurb,n.簡介；印在書籍封套上的推薦廣告
blurt,v.脫口而出
blush,v.因某事物臉紅；n.因羞愧等臉上泛出的紅暈
bluster,v.(指風)猛刮
blustering,a.大吵大鬧的
boast,v./n.自誇
bodyguard,n.保鏢，侍衛
bog,n.沼澤；v.使…陷入泥沼
boggle,v.畏縮不前；使退縮
bogus,a.假裝的，假的
boisterous,a.喧鬧的；猛烈的
bolster,n.枕墊；v.支持，鼓勵
bolt,v.急逃(to dash out；dart)；螺栓，門栓
bombast,n.高調，誇大之辭
bombastic,a.誇誇其談的
bondage,n.奴役，束縛
bonnet,n.圓帽，扁平軟帽
boom,n.繁榮昌盛時期；v.發出深沈有回響的聲音
boon,n.恩惠，天賜福利
boor,n.舉止粗野的人；鄉下人
boost,v.往上推；增加，提高
bootless,a.無益處的；無用的
bore,v.鑽孔；使厭煩；n.孔；令人厭煩的人
boredom,n.厭煩；令人厭煩的事物
boring,a.無趣的，乏味的
botany,n.植物學
boulder,n.巨礫
bouquet,n.花束；芳香
bourgeois,a.中產階級的；自私拜物的
bout,n.一回合，一陣
boycott,v.抵制(貿易)
brace,v.使穩固，架穩；n.支撐物
bracelet,n.手鐲，臂鐲
bracing,a.令人振奮的
bracket,n.托架，支架
brag,v.吹噓
braggadocio,n.吹牛大王；大吹大擂
braggart,n.吹牛者
braid,n.穗子；發辮；v.編成辮子
brake,n.剎車；v.減速，阻止
brand,n.商標；烙印；v.在某事物上打烙印
brandish,v.(威脅性地)揮舞
brash,a.性急的；無禮的
brassy,a.厚臉皮的，無禮的
brat,n.孩子；頑童
bravado,n.故作勇敢，虛張聲勢
bravura,>n.華美樂段；a.華美的；顯示技巧的
brawl,v./n.爭吵，打架
brazen,a.厚臉皮的
breach,n.裂縫，缺口；v.打破，裂開；違背
breadth,n.寬度
breed,v.繁殖；教養；n.品種，種類
bribe,v.賄賂
bricklayer,n.砌磚蓋房者，泥瓦匠
bridle,n.馬籠頭；v.抑制，控制
brink,n.(峭壁的)邊沿，邊緣
brisk,a.敏捷的，活潑的；清新健康的
bristle,n.短而硬的毛髮；v.(毛)竪起；發怒
brittle,a.易碎的，脆弱的
broach,v.開瓶；提出(討論)
brochure,n.小冊子，說明書
broker,n.經紀人
bromide,n.平庸的人或話
brood,n.一窩幼鳥；v.孵蛋；冥想
brook,n.小河
browbeat,v.欺侮；嚇唬
bruise,v.受傷，擦傷
bruit,v.散布(謠言)
brunt,n.主要衝擊力或影響
brusque,a.唐突的，魯莽的
brutal,a.殘忍的；嚴酷的
brute,n./a.野獸(的)；殘忍的(人)
buck,v.反對；n.雄鹿；雄兔
bucket,>n.圓桶
bucolic,a.鄉村的；牧羊的
bud,n.芽；花蕾
budge,v.移動一點兒；改變立場
budget,n.預算
buffoon,n.演出時的丑角；粗俗而愚蠢的人
bulb,n.植物的球莖；燈泡
bulge,n./v.膨脹，鼓起
bulk,n.體積；數量；大多數；大身軀
bully,v.以強欺弱，威脅；n.欺負別人者
bumptious,a.傲慢的，自誇的
bungle,v.粗制濫造
buoy,n.浮標；救生圈；v.支持，鼓勵
buoyant,a.有浮力的；快樂的
bureaucracy,n.官僚政治
burgeon,v.迅速成長，發展
burial,n.埋葬，埋藏
burlesque,n.諷刺或滑稽的戲劇
burnish,v.擦亮，磨光
bust,n.半身(雕)像
butt,v.用頭抵撞，頂撞；n.粗大的一端；煙蒂
buttress,n.拱牆，拱壁；v.支持
byline,n.(列作者名字的)報刊文章首行
byproduct,n.副產品；副作用
bystander,n.旁觀者
Byzantine,a.像迷宮似的；難變更的
cabal,n.政治陰謀小集團
cabinet,n.櫥櫃；內閣
cache,n.貯藏處；v.將…藏於
cacophonous,a.發音不和諧的，不協調的
cacophony,n.難聽的聲音
cadet,n.軍校或警官學校的學生
cadge,v.乞討；佔便宜
cajole,v.(以甜言蜜語)哄騙
calamity,n.大災禍，不幸之事
calcium,n.鈣
calculated,a.蓄意的
calculating,a.深謀遠慮的，精明的
calculus,n.微積分學；結石
caldron,n.(煮湯用的)大鍋
calibrate,v.量…口徑；校准
calipers,n.測徑器，雙腳規
calligraphy,n.書法
callous,a.結硬塊的
callow,a.(鳥)未生羽毛的；(人)未成熟的
calorie,n.卡路里；卡(熱量單位)
calumniate,v.誹謗，中傷
calumny,n.誹謗，中傷
cameo,n.浮雕寶石；生動刻畫；(演員)出演
camouflage,n./v.掩飾，偽裝
campaign,n.戰役；競選活動
canary,n.金絲雀；女歌星
candid,a.率直的
candidacy,n.候選人的資格
candidate,n.候選人；參加考試的人
candor,n.坦白，率直
cane,n.拐杖
canine,a.犬的，似犬的
canny,a.精明仔細的
canon,n.經典，真作
canonical,a.符合規定的；經典的
canopy,n.蚊帳，華蓋
cant,n.斜坡，斜面；隱語，術語，黑話；v.使傾斜
cantankerous,a.脾氣壞的，好爭吵的
canto,n.(長詩的)篇
canvas,n.畫布；帆布
canvass,v.細查；拉選票
canyon,n.峽谷
cape,n.披肩，短鬥篷；海角
capillary,n.毛細血管
capitulate,v.(有條件地)投降
caprice,n.奇思怪想，變化無常，任性
capricious,a.變化無常的，任性的
capsule,n.莢；膠囊
caption,n.標題
captious,a.吹毛求疵的
captivate,v.迷惑，吸引
capture,v.俘獲；奪取或贏得；n.戰利品
carafe,n.玻璃瓶
carapace,n.(蟹或龜等的)甲殼
carbohydrate,n.碳水化合物
carcinogen,n.致癌物
cardinal,a.最重要的；n.紅衣主教
cardiologist,n.心臟病專家
caress,n.愛撫，撫摸；v.愛撫或撫摸某人
careworn,a.受憂慮折磨的，飽經風霜的
cargo,n.(船、飛機等裝載的)貨物
caricature,n.諷刺畫；滑稽模仿
carnivorous,a.肉食動物的
carol,n.贊美詩，頌歌；v.歡唱
carouse,n.狂飲尋樂
carp,n.鯉魚；v.吹毛求疵
carpenter,n.木匠
carrion,n.腐肉
cartographer,n.繪制地圖者
cartoon,n.漫畫
carve,v.雕刻
cast,n.演員陣容；劇團；v.扔；鑄造
caste,n.社會等級，等級
castigate,v.懲治，嚴責
castigation,n.懲罰，苛評
casual,a.偶然的
casualty,n.傷亡事故；傷亡者
cataclysm,n.劇變，災難(常指大洪水或地震)
catalog,n.目錄；系列
catalyst,n.催化劑；促使事情發展的因素
catastrophe,n.突如其來的大災難
categorical,a.無條件的，絕對的；分類的
category,n.類別，範疇
cater,v.迎合；提供飲食及服務
caterpillar,n.毛毛蟲，蝴蝶的幼蟲
catharsis,n.宣洩，淨化
cathedral,n.總教堂，主教堂
catholic,a.普遍的；廣泛的；(人)寬厚的
caucus,n.政黨高層會議
caulk,v.填塞(隙縫使不漏水)
causal,a.原因的，因果關係的
caustic,a.腐蝕性的；刻薄的；n.腐蝕劑
cauterize,v.(用腐蝕性物質或烙鐵)燒灼(表皮組織)以消毒或止血
cavalier,>n.騎士，武士
cavalry,n.騎兵部隊，裝甲部隊
caveat,n.警告，告誡
cavern,n.大洞穴
cavil,v.挑毛病，吹毛求疵
cavity,n.(牙齒等的)洞，腔
cavort,v.騰越，歡躍
cede,v.割讓(土地權利)，放棄
celebrated,a.有名的，知名的
celebrity,n.名聲；知名人士
celestial,a.天體的，天上的
cellar,n.地下室；酒窖
cello,n.大提琴
cement,n.水泥；膠粘劑；v.粘合，鞏固
censor,v.審查，檢查(書報)
census,n.人口統計
centaur,n.人頭馬怪物
centigrade,a.百分度的，攝氏溫度計的
