venerate,v.崇敬，敬仰
vulnerable,a.易受攻擊的
vulture,n.禿鷲
vying,a.競爭的
waddle,v.(鴨子等)搖搖擺擺地走
waffle,n.蛋奶烘餅；v.胡扯，嘮叨
waft,v.飄浮，飄蕩
wag,v.(狗尾巴等)擺動；n.詼諧幽默者
wage,v.開始，進行(戰爭，運動)
waggish,a.詼諧的，滑稽的
walrus,n.海象
wan,a.虛弱的；病態的
wanderlust,n.漫遊癖，旅遊熱
wane,v.減少，衰微
want,n.缺乏，貧困，需要
wardrobe,n.衣櫥；全部服裝
warehouse,n.倉庫，貨棧
warmonger,n.好戰者，戰爭販子
warp,v./n.翹起，彎曲
warrant,n.正當理由；許可證
warranted,a.保證的；憑正當理由的
warranty,n.保證；辯解；有正當理由；批准
wary,a.謹慎的，小心翼翼的
waste,v.使身體消瘦，損耗
wastrel,n.揮霍無度的人
watershed,n.分水嶺，轉折點
waver,v.搖擺，猶豫
wax,n.蠟；v.給…打蠟；盈，增大
wean,v.(孩子)斷奶；戒掉
wearisome,a.使人感到疲倦或厭倦的
weary,a.疲勞的，令人厭倦的；v.厭煩
weasel,n.黃鼠狼，鼬；v.逃避
weather,v.經受住，平安度過危難
weed,n.雜草，野草；v.除草
weld,v.焊接，熔接；結合
well-groomed,a.非常整潔的
welter,n.混亂，雜亂無章
wheedle,v.(用花言巧語)哄騙
whet,v.磨快；刺激
whiff,v./n.輕吹，輕風
whim,n.多變，怪念頭
whimsical,a.古怪的，異想天開的
whimsy,n.古怪，異想天開
whine,v.哀號，號哭
whirlpool,n.漩渦
whisper,v.耳語，低聲說話
whistle,n.口哨，口哨聲；汽笛聲；v.吹口哨
whittle,v.削(木頭)；削減
wholesome,a.促進健康的
wick,n.蠟燭芯；燈芯
wicked,a.極壞的；淘氣的
wield,v.支配，掌權
willful,a.任性的；故意的
willow,n.柳樹
willowy,a.苗條的
wilt,v.使…凋謝，枯萎
wily,a.狡猾的
wince,v.避開，畏縮
windbag,n.饒舌之人
winding,a.蜿蜒的，迂迴的
windy,a.有風的；長篇累牘的
wink,v.使眼色；n.眨眼
winnow,v.把(穀物)的雜質吹掉，揚去
winsome,a.媚人的，漂亮的
wistful,a.惆悵的，渴望的
wit,n.智力，機智
withdraw,v.撤退，收回；隱居
wither,v.枯萎，凋零
withhold,v.扣留，保留
withstand,v.頂住；經受住
witness,n.目擊者；v.目擊
witticism,n.妙語，俏皮話
wizened,a.乾皺的，乾巴巴的
wobble,v.動搖；猶豫
woe,n.悲痛，苦難
woo,v.向(女人)求愛；爭取…的支持
worship,v./n.崇拜，敬仰
wrangler,n.口角者，爭論者；牧馬者
wrench,v.扭，擰；n.板鉗，扳手
wretched,a.可憐的
wrinkle,n.皺紋；竅門
wrist,n.腕，腕關節
writ,n.命令狀，書面命令
wrought,a.做成的，精煉的
wry,a.扭曲的；冷嘲性幽默的
xenophobe,n.懼外者；排外者
xerophyte,n.旱生植物
yacht,n.帆船，遊艇
yarn,n.紗線
yawn,v.打呵欠
yearn,v.盼望，渴望
yeast,n.酵母；興奮
yielding,a.彎曲自如的；柔順的
yoke,n.牛軛；v.控制，束縛
yokel,n.鄉巴佬
zealotry,n.狂熱行為
zenith,n.天頂；極點
zephyr,n.和風；西風
zest,n.刺激性；熱心，興趣
zigzag,n./a.之字形(的)；v.彎彎曲曲地行進
zone,v.分區
abase,v.降低自己，貶抑，使卑下
abduct,v.綁架，拐走
abnegation,n.放棄；自我犧牲
aboriginal,n.原始居民，土著
abortive,a.無結果的，失敗的
abound,v.充滿；富於
abrupt,a.突然的，意外的；唐突的
abstinent,a.飲食有度的，有節制的，禁慾的
acarpous,a.不結果實的
acerbity,n.澀，酸，刻薄
achromatic,a.非彩色的，無色的
acronym,n.首字母縮略詞
actuarial,a.(保險)精算的，保險計算的
actuate,v.驅使，激勵
addle,v.使腐壞；使昏亂
adduce,v.給予(理由)；舉出(例證)
adjudicate,v.充當裁判；判決
adlib,v.臨時講話，即興表演
advert,v.注意，留意
aeronautics,n.航空學
aftermath,n.事件的後果，餘波
agape,a./adv.(嘴)大張著的/地
aghast,a.驚駭的，嚇呆的
ailment,n.(不嚴重的)疾病
albino,n.白化病者，白化變種
alliterate,v.押頭韻
almond,n.杏樹，杏仁
alms,n.施捨物，救濟品
ambience,n.環境，氣氛
ambrosial,a.芬香的，特別美味的
ambulatory,a.(適宜於)步行的
amethyst,n.紫水晶
amiss,adv.有毛病地，出差錯地
amoral,a.與道德無關的
amputate,v.截肢
anemic,a.貧血的，患貧血症的
anodyne,n.止痛藥
antedate,v.(在信、文件上)寫上較早日期；早於
anthropoid,a.像人類的；n.類人猿
aperture,n.孔隙，窄的缺口
apothegm,n.格言，警句
apotheosis,n.神化.典範
appendage,n.附加物
aquiline,a.鷹的，似鷹的
arachnid,n.蜘蛛類節肢動物
archer,n.弓箭手，射手
arraign,v.傳訊；指責
artillery,n.大炮；炮兵
asinine,a.愚笨的
askance,adv.側目而視，瞟
askew,a.歪斜的；v.歪斜，彎曲
asphyxia,n.窒息
astigmatic,a.散光的，亂視的
atheism,n.無神論，不信神
atone,v.贖罪，補償
attire,v.穿著；裝飾；n.好衣服
attrition,n.摩擦，磨損
auger,n.螺絲鑽，鑽孔機
augmentation,n.增加
aureole,n.日冕，光輪
auricular,a.耳的
auspice,n.預兆，吉兆；贊助，支持
automation,n.自動裝置
avocation,n.副業；嗜好
avowal,n.聲明
avuncular,a.伯(叔)父的
azure,n.天藍色；a.蔚藍的
bacchanal,n.(行為放縱的)狂歡會
backslide,v.故態復萌
backwater,n.死水；閉塞地區
baffle,v.使困惑，難倒
balky,a.停止不前的；倔強的
bamboozle,v.欺騙，隱瞞
bandy,v.來回拋球；輕率談論
baron,n.貴族；巨頭
barrister,n.訟務；律師
bassoon,n.低音管，巴松管
bather,n.入浴者，浴療者
bauble,n.花哨的小玩意兒；沒價值的東西
bawl,v.大叫，大喊
beatific,a.祝福的，快樂的
beckon,v.召喚某人，示意
bedizen,v.把„裝飾得艷麗而俗氣
bedraggled,a.弄濕的；凌亂不堪的
beet,n.甜菜
befuddle,v.使迷惑，使為難；使酒醉昏迷
beget,v.產生，引起
beguile,v.欺騙，誘騙
behold,v.目睹，看見
beholden,a.感激某人的；欠人情的
belch,n./v.打嗝；(火山)噴出
belongings,n.所有物，財產
bemused,a.茫然的，困惑的
bereave,v.喪親，奪去
berserk,a.狂怒的，瘋狂的
betoken,v.預示，表示
bibulous,a.高度吸收的；嗜酒的
biennial,a.兩年一次的
bilious,a.膽汁質的；壞脾氣的
billow,n.巨浪；v.翻騰
blackball,v.投反對票以阻止
blackmail,v./n.敲詐，勒索
blare,v.高聲鳴叫
blasé,a.厭倦享樂的，冷漠的
bleachers,n.(球場的)露天座位
bloated,a.腫脹的；傲慢的
blossom,n.花；v.(樹木)開花
bludgeon,n.大頭棒；v.用棒打擊
bluff,n.虛張聲勢；懸崖峭壁
bode,v.預示
boding,n.凶兆，前兆，預感；a.凶兆的
bohemian,a./n..放蕩不羈的(人)
bombardment,n.炮炸，炮轟
bonhomie,n.好性情，溫和，和藹
boo,v.作噓聲，蔑視或反對
botch,v.(笨手笨腳地)弄壞某事
bottleneck,n.瓶頸口，(喻)交通易阻塞的狹口
bough,n.粗大的樹枝或樹幹
bounteous,a.慷慨的；豐富的
bovine,a.(似)牛的；遲鈍的
bowdlerize,v.刪除，刪改
bower,n.涼亭，樹蔭下涼快之處
brackish,a.(指水)略咸的；不好吃的
brattish,a.(指小孩)討厭的，寵壞的，不禮貌的
brawny,a.(人)強壯的
bray,v.大聲而刺耳地發出（叫喚或聲音）
breezeway,n.有屋頂的通路
brim,n.(杯)邊，緣；盈滿
brindled,a.有棕色斑紋的
brocade,n.織錦
broil,v.燒烤
brooch,n.胸針
browse,v.吃嫩葉或草；瀏覽；n.嫩葉；嫩芽
bubble,v.起泡；n.氣泡，水泡
buckle,n.皮帶扣環；v.扣緊
buffer,v.緩衝，為„衝當緩衝器
bugaboo,n.嚇人的東西；妖怪
buggy,n.輕型馬車；嬰兒車
bullion,n.金條，銀條
bumble,v.說話含糊；拙劣地做
bump,v.碰撞；n.碰撞聲
burrow,v.挖掘，鑽進，翻尋n.地洞
buxom,a.體態豐滿的
cachet,n.贊同的標誌，優越的標誌
cactus,n.仙人掌
cadaver,n.屍體
cadence,n.抑揚頓挫；節奏，韻律
calibre,n.(槍等)口徑；(人或事)品德，才能
callus,n.老繭，胼胝
canard,n.謠言，假新聞
canker,n.潰瘍病；禍害
cantata,n.清唱劇，大合唱
capacious,a.容量大的，寬敞的
caper,v./n.雀躍，歡蹦
capitalize,v.資本化，獲利，利用
capitation,n.人頭稅
capsize,v.使船翻；傾覆
carat,n.克拉；(金子)開
careen,v.(船)傾斜；使傾斜
carillon,n.編鐘，鐘琴
carnage,n.大屠殺，殘殺
carpentry,n.木工工作
cascade,n.小瀑布
catapult,n.彈弓；彈射器
cautionary,a.勸人謹慎的，警戒的
cavalcade,n.騎兵隊伍
celerity,n.快速，迅速
celibate,n.獨身者；a.不結婚的
cemetery,n.墳墓，公墓
centrifugal,a.離心的
centripetal,a.向心的
cephalic,a.頭的，頭部的
chasten,v.改正；磨煉
checkered,a.盛衰無常的
chic,a.漂亮的，時髦的
chirp,v.(鳥或蟲)唧唧叫
chore,n.家務瑣事；討厭的工作
chortle,v./n.開心地笑
chunk,n.短厚塊狀物；大量
ciliate,a.有纖毛的；有睫毛的
cineaste,n.影迷，熱衷於電影的人
circumlocutory,a.委婉曲折的，迂迴的
citation,n.引證，引用文，傳票
clairvoyant,a.透視的，有洞察力的
clench,v.握緊；咬緊(牙關等)
cliché,a.陳腐的
closed-minded,a.倔強的，頑固的
closure,n.關閉；終止
cloy,v.(吃甜食)生膩，吃膩
coffer,n.保險櫃
cognate,a.同詞源的；同類的
cognomen,n.(古羅馬人的)姓
colloquy,n.(非正式的)交談，會談
colt,n.小雄駒
comestible,n.食物，食品；a.可吃的
commiserate,v.同情，憐憫
complexion,n.膚色；外表特徵
complicity,n.合謀，串通
comport,v.舉止(以一種特殊方式表現)
compulsory,a.強制性的，命令性的
concentric,a.(指數個圓)有同一中心的
concoct,v.調制；捏造
condign,a.罪有應得的；適宜的
condiment,n.調味品，佐料
condole,v.向„弔慰
condor,n.禿鷹；神鷹
confidant,n.心腹朋友，知己
congenital,a.先天的，天生的
conjugal,a.婚姻的，夫妻之間的
connubial,a.婚姻的，夫妻的
consecrate,v.把„奉獻
consonance,n.一致，調和；和音
consort,v.結交，配對；n.配偶
conspectus,n.概要，大綱
constringe,v.使收縮，使收斂，壓縮
contumacy,n.抗命，不服從
contumely,n.無禮，傲慢
convene,v.集合；召集
convoy,v.護航，護送
cordial,a.熱誠的；n.興奮劑
cornet,n.短號；圓錐形蛋捲
corny,a.平淡無奇的；鄉巴佬的
corporal,a.肉體的，身體的
corpulent,a.肥胖的
corpus,n.全集，全部資料
coruscate,v.閃亮
cosy(cozy),a.溫暖而舒適的
counterpoise,n./v.平均，平衡
coven,n.(尤指十三個)女巫的集會
crafty,a.狡詐的；熟練的
crag,n.懸崖，峭壁
credo,n.信條
crepuscular,a.朦朧的，微明的
crevice,n.缺口，裂縫
crinkle,v.(使)變皺；n.皺紋
cripple,n.跛子；v.(使)殘廢
croon,v.低聲歌唱
crotchety,a.脾氣壞的
crypt,n.地下室，地窖
cuddle,n./v.摟抱，擁抱
cuff,n.袖口；v.上手銬
culprit,n.犯罪者
cumber,v.拖累，妨礙
curd,n.凝乳
curfew,n.宵禁
currish,a.下賤的；雜種的
cursive,a.草書的
curvaceous,a.婀娜多姿的；曲線的
cygnet,n.小天鵝
cynosure,n.注意的焦點
dabbler,n.涉獵者，淺嘗轍止者
dalliance,n.虛度光陰；調情
damn,v.嚴厲地批評，譴責；a.該死的
damper,n.起抑製作用的因素
dangle,v.懸蕩；吊胃口
dank,a.陰濕的，陰冷的
dastard,n.懦夫，膽小的人
daub,v.塗抹；亂畫
daubster,n.拙劣的畫家
daze,v.使茫然，使眩暈
debar,v.阻止
debility,n.衰弱，虛弱
debonair,a.迷人的；友好的
decamp,v.(士兵)離營；匆忙秘密地離開
decant,v.輕輕倒出
decentralize,v.分散，權力下放
declassify,v.撤消保密
declination,n.傾斜；衰微
decoy,v.誘騙
decree,n.命令，法令v.頒布命令
defalcate,v.盜用公款
defame,v.誹謗，中傷
defoliant,n.脫葉劑，落葉劑
defoliate,v.(使)落葉
deforest,v.採伐森林，清除樹林
defray,v.付款
defunct,a.死亡的
delectation,n.享受，愉快
demarcate,v.劃分，劃界
demeanour,n.舉止，行為
demented,a.瘋狂的
demure,a.嚴肅的，矜持的
denominate,v.命名，取名
denunciate,v.公開指責，公然抨擊，譴責
deportment,n.(尤指少女的)風度，舉止
deposit,v.存放；使淤積
depredation,n.劫掠，蹂躪
depressant,a.有鎮靜作用的；n.鎮靜劑
depute,v.派„為代表或代理
deputize,v.代替某人行事或說話
derangement,n.精神錯亂
desalinize,v.除去鹽分
desideratum,n.必需品
designate,v.指明，指出；任命，指派
desirous,a.渴望的
desolate,a.荒涼的，被遺棄的
desperado,n.亡命之徒
despoil,v.奪取，搶奪
destitute,a.貧乏的；窮困的
destructible,a.可破壞的
desuetude,n.廢止，不用
detestable,a.嫌惡的，可憎的，可厭惡的
detonate,v.(使)爆炸，引爆
detract,v.減去，貶低；轉移
devolve,v.(指工作、職務)移交給某人
diabolic,a.惡魔(一樣)的；魔鬼性格的
dictator,n.獨裁者
dictum,n.格言，聲明
dietetics,n.飲食學，營養學
dignitary,n.顯要人物
dilapidation,n.破舊，荒廢
diminuendo,n.(音樂、演奏)漸弱
diocesan,a.主教管區的
dipsomania,n.嗜酒症
disavow,v.否認，否定，抵賴
disband,v.解散(團體)
disclaimer,n.否認，拒絕
disembody,v.使脫離實體，使脫離現實
disfranchise,v.剝奪„的權利(尤指選舉權或公民權)
dishearten,v.使„灰心
dishevel,v.使蓬亂，使頭髮凌亂
disheveled,a.(指毛髮或衣服)凌亂的
disintegrate,v.(使)分裂成小片，(使)瓦解
disport,v.玩耍，嬉戲
disquisition,n.長篇演講，專題論文
dissection,n.解剖，剖析
dissociate,v.分離，游離，分裂
distain,v.貶損，傷害名譽
distal,a.遠離中心的，(神經)末梢的
distention,n.膨脹
distrait,a.心不在焉的
ditch,n.溝，溝渠，壕溝
divagate,v.離題；飄泊
dock,v.剪短；扣除„的一部分工資
doggo,adv.(一動不動地)隱藏著
dotage,n.老年糊塗；溺愛
double-cross,v.欺騙，出賣
dowdy,a.不整潔的，過舊的
dowry,n.嫁妝，妝奩
doze,v.瞌睡，假寐
dribble,v.(液體)往下滴、淌
drollery,n.笑談，滑稽
ductile,a.易拉長的，易變形的；可塑的
dulcet,a.美妙的
dullard,n.愚人，笨蛋
dumbfound,v.使„驚訝發愣
dunce,n.笨人
eaglet,n.小鷹
earthshaking,a.極其重大或重要的
ecdysis,n.(動物)蛻皮；換羽毛
eclat,n.輝煌成就
eclogue,n.田園詩，牧歌
ecumenical,a.世界範圍的
edict,n.法令；命令
eerie,a.可怕的，陰森恐怖的
effeminate,a.缺乏勇氣的，柔弱的
effigy,n.模擬像
egoism,n.利己主義
ejaculate,v.突然叫出或說出；射出
electorate,n.選民，選區；有選舉權者
elixir,n.萬靈藥，長生不老藥
emasculate,v.削弱；閹割；a.柔弱的
embankment,n.堤岸，路基
embitter,v.使痛苦，使難受
emblazon,v.以紋章或其他方式裝飾
embodiment,n.化身，體現
embroil,v.牽連，捲入糾紛
embryonic,a.胚胎的；萌芽期的
emerald,n.翡翠；a.翠綠色的
emolument,n.報酬，薪水
empyrean,n.天空，天神居處
encipher,v.譯成密碼
encyclopedic,a.廣博的，知識淵博的
endu.,v.賦予(才能)
engrossment,n.正式謄寫的文件；專注
ennoble,v.授予爵位，使高貴
enshrine,v.奉為神聖
enslave,v.奴役
ensnare,v.誘入陷阱，進入羅網
enthrall,v.迷惑，迷住
entourage,n.隨從；環境
entrench,v.挖壕溝；確立
entwine,v.使纏繞，交織
environs,n.郊外，郊區
envisage,v.正視；想像
epicurean,a.好享樂的；享樂主義的
episode,n.一段情節
equestrian,n.騎師；a.騎馬的
escort,v.護送；n.護送者
estrange,v.使疏遠
estuary,n.河口，三角灣
eugenic,a.優生(學)的
even-tempered,a.性情平和的；不易生氣的
everlasting,a.永恆的，持久的，無止境的，耐用的
eviscerate,v.取出腸及內臟
exceptionable,a.引起反感的
excerpt,n.摘錄，選錄，節錄
exchequer,n.國庫；財源
excogitate,v.認真想出
excruciate,v.施酷刑，拷問，折磨
execration.n.憎恨，厭惡
exhume,v.掘出，發掘
exiguous,a.太少的，不足的
expatiate,v.細說，詳述
expatriate,v.驅逐出國；脫離國籍
expiation,n.贖罪，補償
explicable,a.可解釋的
expropriate,v.充公；沒收
expulsion,n.驅逐，開除
extradite,v.引渡回國，拿獲歸案
extrinsic,a.外來的，外在的，外部的
extrude,v.擠出，逐出；突出
exultant,a.非常高興的，歡躍的
fabulous,a.難以置信的；寓言里的
facsimile,n.複製本，摹本
factitious,a.人為的，不真實的
fag,v.苦幹；n.苦工
fail-safe,n.自動防故障裝置
fainthearted,a.懦弱的，無精神的；膽小的
fake,v.偽造；佯裝
falsify,v.篡改；說謊
fanfare,n.誇耀性遊行；嘹亮的喇叭聲
fantasia,n.幻想曲；組合樂曲
farrow,v.(母豬)生產；n.一窩小豬
fascia,n.飾帶；(商店上掛的)招牌
fascinate,v.迷惑，迷住
fealty,n.效忠
febrile,a.發燒的，熱病的
feisty,a.活躍的；易怒的
felicitate,v.祝賀，慶祝
feline,a.貓科的
fencing,n.劍術，擊劍法
ferocious,a.凶猛的，殘暴的
ferry,n.渡船，渡口；v.運送
festal,a.節日的；歡樂的
fetish,n.(崇拜的)神物，偶像
fiend,n.惡魔；魔鬼
filament,n.燈絲；細絲
filch,v.偷(不貴重的東西)
filial,a.子女的
fillet,n.束發帶；魚肉片
finable,a.應罰款的
finery,n.華麗優雅的服裝或裝飾
firebrand,n.燃燒的木塊；引起(社會或政治的)動亂的人
fishery,n.漁場；漁業
fissile,a.易分裂的
fitful,a.一陣陣的；不安的
flabby,a.(肌肉)鬆軟的；意志薄弱的
flagellate,v.鞭打，鞭笞
flair,n.天賦，本領，才華
flannel,n.法蘭絨(一種布)
flatulence,n.腸胃氣脹
flavoring,n.香料，調味品
flay,v.剝皮；詐取；嚴厲指責
fleck,n.斑點；微粒
fleece,n.生羊皮，羊毛；v.騙取
fleet,a.快速的；v.消磨；掠過
flick,v./n.輕打，輕彈
flicker,v.閃爍，搖曳
floppy,a.鬆軟的；衰弱的
florescence,n.繁花時期
flunk,v.考試不及格
fodder,n.草料
fondle,v.撫弄，撫摸
foothold,n.立足點，根據地
footle,v.胡鬧；浪費(時間)
fop,n.(喜好精緻服裝的)花花公子
foray,n./v.突襲，偷襲
forebear,n.祖宗，祖先
foreclose,v.排除；取消抵押品的贖回權
forensic,a.法庭的，辯論的
foreword,n.前言，序
forfeiture,n.(名譽等)喪失
forlorn,a.孤獨的；淒涼的
formative,a.形成的，影響發展的
forswear,v.誓絕，放棄
fort,n.要塞，城堡
fractional,a.微小的，極小的
fraternal,a.兄弟的；友善的
fraternity,n.同類人；友愛
fray,n.吵架，打鬥；v.磨破
freak,n.怪物，奇事；a.反常的
fretwork,n.格子細工(在木頭上雕出各種圖案，格子的工藝)
frisk,v./n.歡躍；娛樂
fritter,v.(在無意義上的小事上)愚蠢地浪費；切碎
frolic,v./n.嬉戲；雀躍
frolicsome,a.快活的，歡樂的
frowzy,a.不整潔的，污穢的
fructify,v.結果實；成功
funereal,a.適於葬禮的；憂鬱的
furbish,v.磨光，刷新
fury,n.狂怒，狂暴，激烈；狂怒的人
fustian,n.空洞的話，無意義的高調
gab,n.饒舌，愛說話；v.空談，瞎扯；閒逛，遊蕩
gabble,v.急促而不清楚地說
gaiety,n.歡樂，快活
gale,n.狂風
gallop,v./n.(馬)飛奔；疾馳
gallows,n.絞刑架，絞台
gamut,n.全音階；(一領域的)全部知識
gander,n.雄鵝；笨人；v.閒逛
gangling,a.瘦長得難看的
gangly,a.身材瘦長的
gangrene,n.壞疽
garland,n.(作為勝利標誌的)花環，獎品
garret,n.閣樓，頂樓小室
gastric,a.胃的，胃部的
gastritis,n.胃炎
gastronomy,n.美食法
gauche,a.笨拙的，不會社交的
gaunt,a.憔悴的，瘦削的
genuflect,v.曲膝半跪(以示敬意)；屈從
gestate,v.懷孕，孕育
gesticulate,v.做手勢表達
ghastly,a.可怕的，驚人的，慘白的
girdle,n.腰帶；轉繞物；v.環繞
glamorous,a.迷人的，富有魅力的
gleam,n.亮光，閃光；v.發閃光
glee,n.歡喜，高興
glimpse,n./v.瞥見，看一眼
glitter,v.閃爍，閃耀；n.燦爛的光華；誘惑力，魅力
gloaming,n.黃昏，薄暮
glorify,v.吹捧，美化
gloss-over,v.潦草地或敷衍地處理某事
gnat,n.對小事斤斤計較，瑣事
gnawing,a.痛苦的，折磨人的
gnome,n.地下寶藏的守護神，地精；格言
gnomic,a.格言的，精辟的
goggle,n.護目鏡；v.睜眼看
gorgeous,a.美麗的；極好的
gormandize,v.拼命吃，貪吃
gosling,n.小鵝；年輕無知的人
governance,n.統治，支配
granary,n.穀倉，糧倉
granule,n.小粒，微粒
gratis,a.不付款的，免費的
greenhorn,n.初學者；容易受騙的人
gridiron,n.烤架；橄欖球場
grotesque,a.怪誕的，古怪的
growl,v.(動物)咆哮，吼叫
grudge,v.吝嗇；不滿
gruesome,a.令人毛骨悚然的，惡心的
gruff,a.(指人、聲音)粗野的
grumpy,a.脾氣暴躁的
gulch,n.深谷，峽谷
gull,n.海鷗；易上當的人；v.欺騙
gusto,n.愛好；興致勃勃
gutless,a.沒有勇氣的，懦怯的
guttle,v.狼吞虎嚥
gynaecocracy,n.婦女當政
habitable,a.可居住的
haft,n.柄，把柄
haggard,a.憔悴的，消瘦的
haggle,v.討價還價
hamstring,v.切斷腿筋使成跛腿，使殘廢
hardbitten,a.不屈的，頑強的
hardihood,n.大膽，魯莽
hassle,n.激烈的辯論
hatchet,n.短柄小斧
hawker,n.沿街叫賣之小販
hawser,n.粗繩，大鋼索
hearsay,n.謠傳，道聽途說
heave,v.用力舉
hedgehog,n.刺蝟
hedonic,a.享樂的；n.享樂主義學說
hedonism,n.享樂主義；享樂
heliotrope,n.向陽植物
helm,n.舵，駕駛盤
helot,n.奴隸；受人輕視之人
helve,n.斧柄
henpecked,a.順從妻子的，懼內的
hepatitis,n.肝炎
herald,n.傳令官；預示，先驅
herdsman,n.牧人
heyday,n.全盛時期，青春期
hilt,n.(劍或刀之)柄
hinterland,n.內地；窮鄉僻壤
hippopotamus,n.河馬
hoarse,a.嘶啞的，粗啞的
hobble,v.蹣跚；跛行
holocaust,n.大屠殺，浩劫
holograph,n.親筆信
homely,a.樸素的；不漂亮的
homily,n.說教，訓誡
homograph,n.同形異義字
horology,n.測時法；鐘錶製造術
horrendous,a.可怕的，令人恐懼的
howler,n.嚎叫的人或動物；滑稽可笑的錯誤
hubbub,n.嘈雜，喧嘩
huddle,v.擠成一堆n.一堆人(雜物)
hunk,n.大塊(食物)
hut,n.簡陋的房子，棚
hygiene,n.衛生學；衛生
hypodermic,a.皮下注射的
icing,n.糖衣，糖霜
idol,n.神像；偶像
idolatrize,v.奉為偶像，盲目崇拜
idolize,v.將„當作偶像崇拜；極度喜愛或仰慕
illegible,a.難讀的，難認的
illiberal,a.氣量狹窄的
illustrious,a.著名的，顯赫的
imbecile,n.心智能力極低的人
immortal,a.不朽的，流芳百世的
impend,v.進行威脅；即將發生
imperil,v.使陷於危險中，危及
imprecation,n.祈求，詛咒
imputation,n.歸咎，歸罪
impute,v.歸咎於
incertitude,n.疑惑，不確定
incisor,n.門牙
incongruent,a.不協調的，不和諧的，不合適的
incorporeal,a.無實體的，非物質的，靈魂的
incrustation,n.硬殼，外層
indite,v.寫，賦(詩文)
inebriate,v.使„醉n.酒鬼，酒徒
ineffaceable,a.抹不掉的
ineligible,a.沒有資格的
inexpedient,a.不適當的，不明智的
inexpiable,a.不能補償的
infatuate,v.使迷戀；使糊塗
infatuated,a.迷戀(人)的
infernal,a.地獄的；可惡的
infliction,n.(強加於人身的)痛苦，刑罰
informer,n.告發者，告密者
ingress,n.進入
insane,a.瘋狂的
insanity,n.瘋狂；愚昧
inscription,n.銘刻；題字
insolate,v.使曝曬
insouciance,n.漠不關心，漫不經心
installment,n.分期付款；安裝
insuperable,a.難以克服的
interdisciplinary,a.跨學科的
interlace,v.編織；交錯
interlocutor,n.對話者，談話者
interlope,v.(為圖私利)干涉他人之事；闖入
interloper,n.闖入者
interstice,n.細裂縫，空隙
interweave,v.交織，編結
intestate,a.未留遺囑的
